Sampling date,Dissolved_bromide,Dissolved_nitrate,Dissolved_sulphate
2012-11-06,0.04,22.89,49.36
2012-11-12,0.06,22.23,68.11
2012-11-19,0.07,24.54,78.27
2012-11-26,0.04,18.93,39.57
2012-12-04,0.06,26.03,60.2
2012-12-11,0.09,31.35,71.88
2012-12-17,0.05,23.6,48.31
2013-01-07,0.08,26.74,65.55
2013-01-14,0.08,28.16,70.09
2013-01-21,0.09,29.42,72.67
2013-01-28,0.05,19.35,35.83
2013-02-04,0.067,23.25,57.75
2013-02-11,0.07,15.52,36.13
2013-02-18,0.07,22.73,57.55
2013-02-25,0.08,31.34,67.82
