Sampling date,Total_dissolved_nitrogen,Dissolved_sodium,Dissolved_potassium
2012-11-06,5.02,16.4,6.1
2012-11-12,4.87,23.2,6.2
2012-11-19,5.45,26.7,7
2012-11-26,4.64,14,6.2
2012-12-04,5.89,22.6,6
2012-12-11,6.72,24.5,6.1
2012-12-17,5.36,18.5,5.4
2013-01-07,6.05,21.1,6
2013-01-14,6.72,25.4,6
2013-01-21,7.05,41.6,6.3
2013-01-28,4.57,19.6,5.3
2013-02-04,5.29,21.5,5.3
2013-02-11,3.86,22.7,5
2013-02-18,5.5,21.4,5.2
2013-02-25,7.45,24.8,6.1
